text,start,duration
sensitive and they're happy to suck up,288.1,2.939
more fat and they're not inflamed and,289.569,3.63
they're not insulin resistant so not all,291.039,4.171
your fat cells are are like great your,293.199,4.711
ginormous huge overstuffed fat cells are,295.21,4.41
super inflamed they're sick they're,297.91,3.99
dying they're spewing out fat constantly,299.62,3.96
it takes a crap-ton of insulin just,301.9,3.21
shove fat in there,303.58,3.089
the fat doesn't want to stay in there,305.11,3.63
but your cute little baby fat cells are,306.669,3.81
very insulin sensitive and they're more,308.74,3.57
than happy to suck up more fat slugs,310.479,4.56
right so you can have two people of,312.31,5.25
identical obesity and the person who's,315.039,4.5
overstuffed their fat cells and had AB,317.56,4.26
side hypertrophy is going to be inflamed,319.539,5.701
and insulin resistant and it takes a ton,321.82,5.49
of insulin to shove anymore fat in there,325.24,4.019
and the fat is constantly spilling back,327.31,4.38
out but somebody you can sprout new,329.259,4.44
little baby fat cells is going to stay,331.69,3.96
insulin sensitive forever if you have,333.699,3.601
the right genetics and you can just,335.65,3.69
sprout new fat cells this hyperplasia,337.3,4.769
you could be 600 pounds and as long as,339.34,4.47
you have some small fat cells around you,342.069,3.481
still suck up more fat you're going to,343.81,3.479
be totally insulin sensitive this is,345.55,4.859
about 10% of obese people so there's,347.289,4.921
this concept of limit of adipose tissue,350.409,4.531
expansion basically there's a limit to,352.21,4.679
how easily you can get fatter either by,354.94,3.63
sprouting new baby fat cells or,356.889,3.301
expanding the ones you've got and once,358.57,3.36
you've hit this limit your insulin,360.19,4.8
resistant so fat is typically stored in,361.93,4.5
the subcutaneous first and then it,364.99,3.299
spills over into visceral and then it,366.43,3.66
spills over into liver and muscle and,368.289,3.301
pancreas and blood vessels and you've,370.09,3.449
got ectopic fat you know fat everywhere,371.59,3.06
and then you're horribly insulin,373.539,3.451
resistant here's a sort of a schematic,374.65,3.78
of how it works you still have your,376.99,3.84
SubGenius adipose first it spills over,378.43,4.38
into the visceral that spills over into,380.83,3.63
liver and muscle and now you've got,382.81,3.69
ectopic fat and none of your tissues,384.46,4.139
want any fat or glucose and now your,386.5,5.34
insulin resistant my favorite term when,388.599,5.1
it comes to this concept is personal fat,391.84,6.329
threshold PFT this is a genetic limit to,393.699,6.331
how fat you can get before you just,398.169,3.541
can't get fatter and your insulin,400.03,3.78
resistance this explains people who are,401.71,3.9
Toph I thin on the outside but on the,403.81,4.32
inside I think dr. Berger mentioned that,405.61,5.52
and these are people who look thin but,408.13,4.94
they completely maxed out there,411.13,3.41
for subcutaneous and visceral and,413.07,3.27
they're horribly insulin resistance or,414.54,3.81
maybe completely diabetic this is why,416.34,4.47
China and India has passed up diabetes,418.35,4.32
prevalence compared to the u.s. at a,420.81,3.6
much lower body mass index right,422.67,4.95
Personals a threshold on this slide it's,424.41,5.22
just here to remind me that your giant,427.62,4.05
overstuffed hypertrophy fat cells are,429.63,4.44
literally dying these gray things on the,431.67,4.44
right are dead adipocytes and that's why,434.07,3.36
you have so many macrophages though,436.11,3.33
these cells are not happy they're sick,437.43,4.29
they're dying they're inflamed the,439.44,4.11
little baby fat cells are happiest clams,441.72,6.3
I love this graph right here it takes a,443.55,7.56
ton of insulin to shove that much fat,448.02,5.01
into an adverse it-- and hold it there,451.11,3.81
and to pin it there chronically and that,453.03,3.87
fat is constantly trying to speed back,454.92,3.93
out and that's why people have maxed out,456.9,4.38
their fat cells just have high insulin,458.85,6.41
24/7 this is a beautiful illustration,461.28,7.08
okay the best example we have of adipose,465.26,4.75
tissue controlling insulin resistance is,468.36,4.26
lipodystrophy lipodystrophy is a series,470.01,4.41
of disorders where you don't have any,472.62,4.56
subcutaneous fat or hardly any I have a,474.42,4.13
bunch of patients with lipodystrophy,477.18,4.47
there they're very unique they have they,478.55,4.75
almost look ripped like like a,481.65,4.59
bodybuilder they have very defined arms,483.3,4.89
and legs as very little subcutaneous fat,486.24,4.29
but they have a lot more visceral fat,488.19,3.78
than you would expect if you do,490.53,3.24
cross-sectional imaging on these people,491.97,4.53
the sub-q fat in red here is very very,493.77,6.09
small but the visceral fat is completely,496.5,5.67
maxed out and almost everyone with,499.86,4.44
lipodystrophy has horrible insulin,502.17,4.05
resistance and horrible brittle diabetic,504.3,4.64
diets all of my lab industry patients,506.22,5.1
really bad diabetes it's the worst,508.94,5.5
insulin resistance um now you can buy a,511.32,5.19
mouse that has Lipa dystrophy right we,514.44,4.17
found mice that lack subcutaneous fat,516.51,4.53
for whatever reason and we've bred them,518.61,4.41
and you can actually buy and sell,521.04,4.35
lipodystrophy mice and it's a great,523.02,3.9
model for insulin resistance and,525.39,3.12
diabetes because no matter what you feed,526.92,4.02
them they just completely max out so,528.51,4.44
cute a nice fat it all goes to this real,530.94,4.32
fat they have fatty liver they have,532.95,3.9
visceral fat their insulin resistant,535.26,4.32
diabetic just like the humans and we did,536.85,4.41
this amazing study on these,539.58,3.89
lipodystrophy mice where we literally,541.26,5.44
surgically implanted little pouches of,543.47,5.24
subcutaneous fat under their skin and,546.7,4.26
connected to blood supply and you,548.71,4.47
instantly magically cure insulin,550.96,4.32
resistance in these mice look at this,553.18,4.23
black line on top here that's the sham,555.28,4.47
surgery and you're looking at insulin,557.41,5.01
levels versus fat transplant surgery on,559.75,4.59
the bottom in white you literally,562.42,4.08
instantly magically cheer insulin,564.34,3.45
resistance in these mice by just,566.5,3.66
implanting sub-q fat in the skin this is,567.79,4.71
kind of the final nail in the coffin of,570.16,4.53
anyone who doesn't buy into the theory,572.5,4.62
that adipose controls insulin resistance,574.69,5.01
right we haven't done this exact study,577.12,4.14
in humans I don't think people would,579.7,3.93
really like that but we do have glitter,581.26,3.93
zones glitter zone in this class of,583.63,3.15
diabetes drug that enables you to get a,585.19,4.26
little bit fatter and it they don't work,586.78,4.26
that grade that you get a little fatter,589.45,2.91
and your insulin resistance and diabetes,591.04,4.35
gets a little bit better I don't like,592.36,4.71
that if patients knew how it worked they,595.39,3.99
probably wouldn't want to take it okay,597.07,4.14
so here's how it works so far right you,599.38,4.35
fill up your subcutaneous fat then it,601.21,4.05
spills over to visceral that spills over,603.73,2.91
into liver and muscle now you've got a,605.26,2.97
copic fat you've got five everywhere,606.64,3.15
none of your cells want fat none of your,608.23,3.18
tissues one side your insulin resistant,609.79,4.56
what's really going on here is your body,611.41,5.85
is at war with itself right none of your,614.35,4.83
cells want fat none of your tissues want,617.26,3.69
that none of them want glucose either,619.18,3.69
none of them want any of this energy and,620.95,4.86
it's like this horrible game of musical,622.87,5.01
chairs where insulin just gets louder,625.81,4.2
and louder and louder until you finally,627.88,4.65
shove some fat or glucose into whatever,630.01,4.26
cell or tissue is the least insulin,632.53,3.57
resistant and next time it'll probably,634.27,3.93
be even more insulin resistant and once,636.1,4.26
your body is at war with itself like,638.2,4.41
this the wheels just fall off your wagon,640.36,4.53
and this is why all of these chronic,642.61,3.9
diseases are driven by insulin,644.89,5.49
resistance okay bottom line so far your,646.51,5.7
insulin resistant because you filled up,650.38,3.75
all your adipocytes right you have no,652.21,3.69
more room for fat flux every time you,654.13,4.17
eat a meal it has nowhere to go the fat,655.9,4.5
or the glucose so you're just completely,658.3,4.05
filled and that's why your insulin,660.4,3.03
resistant and that's why your,662.35,2.25
hyperinsulinemic and you have high,663.43,3.12
insulin all the time but that's just,664.6,3.45
this is just the beginning I mean the,666.55,3.33
big question is why did you fill up,668.05,3.57
you're out of sights right why are they,669.88,3.63
all full is it because humans shouldn't,671.62,3.96
eat fat because we're should be low fat,673.51,3.81
vegan is it because you're just a,675.58,4.06
glutton then you eat too much right No,677.32,5.53
you filled up your fat cells with fat,679.64,5.73
because you suck at burning fat because,682.85,5.13
you eat too much glucose an important,685.37,4.92
rating factor for obesity is reduced fat,687.98,3.359
oxidation increase metabolism,690.29,3.03
carbohydrate this is then brought about,691.339,3.211
by shift towards the body's preference,693.32,2.67
for the oxidizing carbohydrate rather,694.55,3.06
than fat resulting an increased,695.99,3.48
deposition of body fat you're eating,697.61,3.87
carbs and glucose you're not burning fat,699.47,5.03
it accumulates you fill up your adipose,701.48,6.419
turns out everybody with obesity insulin,704.5,8.459
resistance ectopic fat has defects in,707.899,8.161
mitochondrial metabolism of fat everyone,712.959,4.981
in this situation has trouble,716.06,4.19
metabolizing fat in the mitochondria,717.94,4.389
obesity insulin resistance type 2,720.25,3.579
diabetes and aging all associated with,722.329,3.091
impaired skeletal muscle oxidation,723.829,3.871
capacity reduce mitochondrial content,725.42,3.72
and lower rates of oxidative,727.7,2.91
phosphorylation basically you're not,729.14,3.56
burning fat in your mitochondria,730.61,4.26
mitochondrial now structure function are,732.7,4.329
altered in insulin resistance defects of,734.87,3.48
mitochondria are believed to contribute,737.029,3.421
to impaired fat oxidation and to the,738.35,3.87
accumulation of intracellular lipid,740.45,3.48
intermediates which contribute to the,742.22,3.2
pathogenesis of insulin resistance,743.93,3.42
mitochondrial dysfunction the elderly,745.42,3.13
and in the offspring of diabetic,747.35,3.65
patients is well documented so basically,748.55,5.159
you're not burning fat well it,751.0,6.55
accumulates you fill up your adipose now,753.709,7.201
only your mitochondria can oxidize fat,757.55,4.44
right it's all happening the,760.91,2.549
mitochondria and let's talk about them,761.99,3.48
for a second every nucleated cell in,763.459,3.87
your body has mitochondria in it right,765.47,4.83
and they're just constantly turning your,767.329,5.401
food into ATP which drives everything in,770.3,4.74
your body and the turnover rate is just,772.73,5.219
enormous every single day you make your,775.04,5.909
entire body mass in ATP molecules if,777.949,4.95
you're a 70 kilogram male you,780.949,4.231
manufacture 70 kilograms of ATP,782.899,4.531
molecules every day which is ridiculous,785.18,4.86
the the turnover is so fast that at any,787.43,4.83
given second in time you only have six,790.04,4.89
seconds of ATP left in your body or in,792.26,4.8
fact that is what on cyanide does,794.93,3.93
cyanide poisons your electron transport,797.06,4.139
chain and you can't make ATP in your,798.86,3.57
dead six seconds later,801.199,2.971
so these suckers are constantly,802.43,3.81
performing metabolism and there are,804.17,3.6
three things going into the cell that,806.24,4.62
your mitochondria can burn glucose FFA,807.77,5.22
is free fatty acid dutchess fat or amino,810.86,2.7
acid,812.99,2.759
now amino-acids is sort of a minor,813.56,4.23
player most of the time people are,815.749,5.25
oxidizing glucose or fat and glucose and,817.79,6.989
fat are oxidized reciprocally so anytime,820.999,5.19
you're bringing more glucose you're,824.779,3.3
burning less fat and more fat you're,826.189,4.08
burning less glucose right now you can,828.079,5.971
actually tell what the fuel mixture is,830.269,5.851
in every mitochondria and every cell of,834.05,4.019
your body by measuring a respiratory,836.12,4.469
quotient right you actually breathe out,838.069,4.32
a lot more carbon dioxide if you're,840.589,3.841
burning glucose in your mitochondria,842.389,4.11
then if you're burning fat you breathe,844.43,4.259
out less carbon dioxide and because,846.499,4.02
they're reciprocal you can actually,848.689,3.721
calculate it out if you have a highest,850.519,4.021
respiratory quotient of 1.0 you're,852.41,3.659
breathing out the most carbon dioxide,854.54,3.599
and you're burning pure glucose in all,856.069,3.781
yourselves all your mitochondria if you,858.139,3.411
have the lowest respiratory quotient of,859.85,2.82
0.7,861.55,3.43
you're burning pure fat when you're,862.67,3.99
making the least carbon dioxide and,864.98,3.81
because it's reciprocal you can just,866.66,3.929
look at that line and tell exactly what,868.79,3.029
you're feeling extra is based on your,870.589,3.781
respiratory pollution the fascinating,871.819,4.531
thing about respiratory quotient is you,874.37,4.139
could take two people in this room and,876.35,4.26
measure their baseline respiratory,878.509,4.411
quotient and whoever has the higher one,880.61,4.169
meaning they're burning more glucose and,882.92,4.409
less fat at baseline will literally be,884.779,4.74
significantly fatter three years down,887.329,3.69
the road that's what this study was,889.519,3.81
measured based on our cue whoever is,891.019,3.99
burning more glucose and less fat is,893.329,3.771
literally going to be sadder later,895.009,4.26
defective fat oxidation remains the,897.1,4.15
likely explanation for this point yeah I,899.269,4.411
couldn't agree more it turns out you can,901.25,4.35
take two people of the same obesity,903.68,4.529
whoever has the higher or whoever has,905.6,4.289
the lower respiratory quotient meaning,908.209,3.541
they're burning more fat is going to be,909.889,3.18
metabolically healthier they're going to,911.75,3.059
have lower insulin let's metabolic,913.069,5.791
syndrome if your insulin resistant you,914.809,5.7
have a hierarchy if you're diabetic you,918.86,3.24
have a hierarchy if you're obese you,920.509,3.241
have a higher RQ if you have family,922.1,2.7
members with diabetes you have a,923.75,3.959
hierarchy anything bad metabolically you,924.8,4.649
have a higher R Q and that's just not,927.709,3.661
good there's also this concept of,929.449,4.171
metabolic flexibility metabolic,931.37,4.5
flexibility is the ability to drop your,933.62,5.519
RQ if you're eating more fat so if I'm,935.87,5.309
thin and healthy and I have tons of,939.139,3.841
really good mitochondria and I'm good it,941.179,4.77
brings out if I eat a high fat diet I,942.98,4.34
will immediately drop my,945.949,4.851
our cue and burn more fat also if I'm,947.32,5.31
fasting and I'm just living off of fat,950.8,4.23
my RQ goes way down people with poor,952.63,5.13
metabolic flexibility can't do that they,955.03,4.95
if they eat a higher fat diet they end,957.76,5.19
up just storing that if they if they are,959.98,4.95
fasting they have a struggle to meet,962.95,4.29
their metabolic needs just from that you,964.93,3.75
can draw a graph of metabolic,967.24,4.71
flexibility and insulin sensitivity and,968.68,6.87
it's just a straight line right now okay,971.95,5.1
this is a really important point if,975.55,3.39
you're on a mixed diet and you eat a,977.05,4.32
bunch more carbs you will immediately,978.94,4.77
raise your RQ in anybody you can drive,981.37,4.74
up anyone's RQ by feeding them more,983.71,4.32
carbs and glucose because glucose,986.11,4.35
completely controls metabolism and,988.03,4.41
substrate oxidation it has to because,990.46,3.3
you don't have anywhere for that glucose,992.44,3.48
to go so if I feed anyone more carbs,993.76,4.44
there are Q goes up the same isn't true,995.92,4.65
on a mixed diet if you're eating just a,998.2,4.17
regular standard American diet and you,1000.57,3.81
add more fat to it you just throw stick,1002.37,4.29
of butter on top you will not drop your,1004.38,5.25
RQ you'll just store all that butter I'm,1006.66,4.65
reading in this box here excess,1009.63,3.12
carbohydrate results in increased,1011.31,3.33
carbohydrate oxidation a lower fat,1012.75,4.17
oxidation increased our - this is not,1014.64,4.8
the case for fat excess fat intake on a,1016.92,3.93
mixed diet does not stimulate cell,1019.44,4.34
oxidation but enhance its fat storage um,1020.85,5.79
that's because glucose rather than fat,1023.78,5.559
completely controls substrate oxidation,1026.64,5.069
right glucose control oxidation and,1029.339,4.051
here's why,1031.709,4.951
glucose has to control metabolism and,1033.39,6.48
substrate choice professor flat drew,1036.66,5.76
this diagram this hydraulic mechanical,1039.87,4.74
model of metabolism like 60 years ago,1042.42,4.5
and you've got this giant fat reservoir,1044.61,4.47
over here on the right that's 200 times,1046.92,4.26
bigger than this tiny little glucose,1049.08,4.14
carbohydrate reservoir so when I dump a,1051.18,4.08
bunch of fat into the system nothing has,1053.22,3.84
to change I don't have to change my fuel,1055.26,4.29
mixture I can do that all day long on,1057.06,4.62
the other hand you only have a tiny,1059.55,4.59
little carb glucose reservoir it's it's,1061.68,4.5
really small you know you can have what,1064.14,3.9
5 grams of glucose in your bloodstream,1066.18,3.57
maybe a couple hundred grams and your,1068.04,3.69
liver and your muscle and that's it so,1069.75,3.51
when you dump in a bunch of carbs in,1071.73,3.54
blue coats you literally have to switch,1073.26,4.08
your metabolism over and burn more,1075.27,3.96
glucose I've made a fancier little,1077.34,3.329
hydraulic model of metabolism,1079.23,2.939
here and again you've got a fat,1080.669,3.72
reservoir on the right so when you dump,1082.169,5.13
more fat in nothing has to change but as,1084.389,4.92
you add carbohydrates and raise glucose,1087.299,4.291
you literally have to switch your,1089.309,4.771
metabolism over and burn more glucose,1091.59,4.14
just to get rid of it you just have no,1094.08,2.939
other choice that's how it has to work,1095.73,3.36
in fact if you need enough carbohydrates,1097.019,4.62
in glucose you literally have to convert,1099.09,5.25
it to fat via de novo lipogenesis to,1101.639,4.561
store it and get rid of it only when,1104.34,4.469
carbohydrates and glucose are absent can,1106.2,4.5
you switch your fuel mixture over and,1108.809,5.55
burn fat again there's another concept,1110.7,4.829
here and that's glucose hysteresis,1114.359,3.81
there's an inertia to your metabolism a,1115.529,4.171
general feature of metabolic regulation,1118.169,3.24
is that substrate typically induce the,1119.7,3.27
metabolic machinery necessary for their,1121.409,3.181
own metabolism what does that mean if,1122.97,3.449
you're good at burning fat you have,1124.59,3.929
epigenetic changes that up regulate your,1126.419,4.771
fat burning pathways and you'll stay,1128.519,4.65
good at burning fat for a period of time,1131.19,4.799
it's like an inertia to your memory to,1133.169,4.74
your metabolism on the other hand if,1135.989,4.081
you're a glucose burner you operate you,1137.909,3.72
have epigenetic changes you have to,1140.07,3.809
regulate glucose burning and you sort of,1141.629,3.9
stay good at that that's why it takes,1143.879,3.42
you know one to three weeks to switch,1145.529,4.11
over from a high carb diet to a low carb,1147.299,6.24
diet ok this this study sums it up so,1149.639,4.98
well I'm just going to quote directly,1153.539,2.671
from it the development of insulin,1154.619,3.42
resistance is the impaired ability of,1156.21,3.899
skeletal muscle to oxidize fatty acids,1158.039,3.33
as the consequence of the elevated,1160.109,3.45
glucose oxidation and the situation of,1161.369,3.75
hyperglycemia hyperinsulinemia,1163.559,2.94
and the impaired ability to switch,1165.119,3.211
easily between glucose and fat oxidation,1166.499,3.93
and response to homeostatic signals the,1168.33,3.569
decreased out oxidation results in the,1170.429,3.09
accumulation of intermediates of fatty,1171.899,5.61
acid metabolism glucose around you can't,1173.519,6.691
burn fat the fat accumulates now your,1177.509,5.49
insulin resistance this concept of,1180.21,4.469
metabolic flexibility goes all the way,1182.999,3.691
down to the mitochondrial level so,1184.679,3.45
here's your mitochondria with the two,1186.69,4.459
inputs glucose and fat and a healthy,1188.129,5.37
mitochondria can easily flex back and,1191.149,4.571
forth glucose fat glucose set but if you,1193.499,4.231
have an inflexible mitochondria you're,1195.72,3.839
one of these damaged mitochondria it's,1197.73,3.36
really bad at doing that it really,1199.559,4.141
struggles what's going on inside your,1201.09,4.919
mitochondria as you've got glucose and,1203.7,4.74
long-chain fatty acids the to input into,1206.009,4.831
the cell right glucose inside glucose,1208.44,4.559
goes into the mitochondria and when you,1210.84,3.78
dump in a bunch of extra glucose,1212.999,3.421
you have increased citrate and citrate,1214.62,3.78
gets exported to the cell and because,1216.42,4.08
there's extra citrate your body knows,1218.4,4.5
it's time to make fat instead of burning,1220.5,4.62
fat so you're still going to make that,1222.9,4.89
it converts it into melon Alcoa that,1225.12,5.01
literally blocks carnitine pummelled,1227.79,5.12
transfers one CPD one and fat actually,1230.13,4.74
physically cannot enter your,1232.91,4.51
mitochondria to be burned when melon,1234.87,4.32
Alcoa is elevated in other words when,1237.42,3.45
you're making fat you don't want to burn,1239.19,3.93
fat that would be wasteful so all your,1240.87,4.83
fat gets rerouted as triglycerides to be,1243.12,4.38
stored I'm reading the caption here,1245.7,3.87
mechanism of inhibition of fatty acid,1247.5,5.19
oxidation by glucose basically melon,1249.57,5.04
okole inhibits the entry of long-chain,1252.69,4.26
fatty acids into the mitochondria this,1254.61,4.14
effect reroutes fatty acids toward the,1256.95,3.39
certification so when there's a bunch of,1258.75,3.27
glucose present you can't burn fat,1260.34,4.08
here's another illustration the same,1262.02,4.409
thing you dump in a bunch of glucose you,1264.42,4.32
export citrate melon elko a first,1266.429,4.711
committed step to making fat so you,1268.74,4.23
don't want to burn fat and you block,1271.14,4.44
entry of fat into the mitochondria and,1272.97,4.05
all your fat accumulates as,1275.58,3.3
triglycerides to be exported and stored,1277.02,3.6
what's really going on here,1278.88,5.1
is your body is way too efficient to,1280.62,5.85
make fat and burn fat at the same time,1283.98,4.65
so when you dump a bunch of glucose into,1286.47,5.61
your cell your body knows it's going to,1288.63,6.15
make fat right fatty acid synthesis and,1292.08,4.89
melon elko is the first committed step,1294.78,4.41
to fatty acid synthesis block cpt 1,1296.97,3.959
because you don't want to be making fat,1299.19,3.36
on one side here on the right and then,1300.929,3.541
burning fat on the other side but just,1302.55,3.6
that would be a futile cycle right that,1304.47,4.02
your body's not going to do that that's,1306.15,4.44
why glucose inside our burn reciprocally,1308.49,4.11
all the way down at your mitochondrial,1310.59,3.75
level because when you're burning,1312.6,3.39
glucose and you're going to be making,1314.34,3.469
fat you don't want to be burning fat,1315.99,4.2
we've proven that this happened here's a,1317.809,4.12
brilliant study that literally proves us,1320.19,5.1
they are measured oxidation of glucose,1321.929,4.891
and fat in the mitochondria baseline,1325.29,3.3
they infuse people with glucose and,1326.82,4.89
insulin and bam immediately glucose,1328.59,5.37
oxidation goes way up fat oxidation goes,1331.71,4.14
way down this is just how it works,1333.96,3.48
this is why if you eat carbs all day,1335.85,3.45
long you're not burning fat any fat at,1337.44,4.59
all rather the intracellular,1339.3,5.37
availability of glucose not fatty acid,1342.03,4.26
is a prime determinant of the substrate,1344.67,3.25
mix ie glucose versus,1346.29,3.4
that is our size for energy in other,1347.92,3.69
words you dump in glucose you literally,1349.69,3.93
have to burn glucose not fat,1351.61,3.18
that's just how the whole system works,1353.62,3.57
here's a cuter picture of it right,1354.79,4.74
insulin binds to the cell up in the,1357.19,3.84
upper left-hand corner the glut for,1359.53,3.42
transporter goes to the service glucose,1361.03,4.2
comes in it's converted to nominal Co a,1362.95,4.23
because you're going to turn it into fat,1365.23,4.65
so that blocks CP t1 so you don't burn,1367.18,4.14
any fat and then all your fat,1369.88,4.35
accumulates there in yellow now what,1371.32,4.92
let's say I eat just a diet of pure,1374.23,5.25
glucose right I'm some crazy low fat,1376.24,6.03
vegan and all I eat is just sugar I'm on,1379.48,4.59
a sugar diet I'm on some sort of kempner,1382.27,5.01
rice diet okay I only glucose but I,1384.07,4.83
don't overeat and I'm careful with,1387.28,2.16
calories,1388.9,3.51
yes I'm blocking entry of fat into the,1389.44,5.94
mitochondria but I don't eat any fat so,1392.41,5.34
fat isn't accumulating I actually won't,1395.38,4.05
gain weight you can eat a diet of pure,1397.75,2.97
sugar and you will not gain weight,1399.43,3.72
you're horribly locked into glucose,1400.72,4.65
dependence so I don't recommend it at,1403.15,4.05
all now if I dump a bunch of butter on,1405.37,3.57
top of that oh yeah well then I'll gain,1407.2,3.3
a thousand pounds right because you're,1408.94,4.14
blocking oxidation of that with all the,1410.5,4.68
glucose and then all the fat accumulates,1413.08,3.66
and next thing you know your insulin,1415.18,3.81
resistant and in fact what happens is,1416.74,4.26
your cell sees what's going on here all,1418.99,4.29
this fat is accumulating and the,1421.0,4.44
accumulated fat shuts off insulin,1423.28,4.05
signaling so the blood floor transfer,1425.44,4.02
goes back inside the cell and your cells,1427.33,3.99
refusing glucose right your cell doesn't,1429.46,2.97
wanting more glucose look at all this,1431.32,3.69
fat that accumulated your cell doesn't,1432.43,5.01
want glucose right your cells,1435.01,5.43
smarter than you are what could you do,1437.44,4.29
with your diet when your cell doesn't,1440.44,3.03
want more glucose I can't think of,1441.73,3.33
anything but that's probably something,1443.47,3.9
now if we take it even one layer deeper,1445.06,3.9
